rule,body,head,head_coverage,std_confidence,pca_confidence,positive_examples,body_size,pca_body_size,functional_variable
?b http://FrenchRoyalty.org/predecessor ?a => ?a http://FrenchRoyalty.org/successor ?b,?b http://FrenchRoyalty.org/predecessor ?a,?a http://FrenchRoyalty.org/successor ?b,1.0,1.0,1.0,471,471,471,?a
?b http://FrenchRoyalty.org/parent ?a => ?a http://FrenchRoyalty.org/successor ?b,?b http://FrenchRoyalty.org/parent ?a,?a http://FrenchRoyalty.org/successor ?b,0.414012739,0.154639175,0.482673267,195,1261,404,?a
?a http://FrenchRoyalty.org/child ?b => ?a http://FrenchRoyalty.org/successor ?b,?a http://FrenchRoyalty.org/child ?b,?a http://FrenchRoyalty.org/successor ?b,0.435244161,0.108065366,0.196360153,205,1897,1044,?a
?b http://FrenchRoyalty.org/father ?a => ?a http://FrenchRoyalty.org/successor ?b,?b http://FrenchRoyalty.org/father ?a,?a http://FrenchRoyalty.org/successor ?b,0.360934183,0.258358663,0.508982036,170,658,334,?a
?b http://FrenchRoyalty.org/child ?a => ?a http://FrenchRoyalty.org/mother ?b,?b http://FrenchRoyalty.org/child ?a,?a http://FrenchRoyalty.org/mother ?b,0.464419476,0.130732736,0.46969697,248,1897,528,?a
?a http://FrenchRoyalty.org/parent ?b => ?a http://FrenchRoyalty.org/mother ?b,?a http://FrenchRoyalty.org/parent ?b,?a http://FrenchRoyalty.org/mother ?b,1.0,0.423473434,0.488563586,534,1261,1093,?a
?b http://FrenchRoyalty.org/successor ?a => ?a http://FrenchRoyalty.org/predecessor ?b,?b http://FrenchRoyalty.org/successor ?a,?a http://FrenchRoyalty.org/predecessor ?b,1.0,1.0,1.0,471,471,471,?b
?b http://FrenchRoyalty.org/child ?a => ?a http://FrenchRoyalty.org/predecessor ?b,?b http://FrenchRoyalty.org/child ?a,?a http://FrenchRoyalty.org/predecessor ?b,0.435244161,0.108065366,0.196360153,205,1897,1044,?b
?a http://FrenchRoyalty.org/parent ?b => ?a http://FrenchRoyalty.org/predecessor ?b,?a http://FrenchRoyalty.org/parent ?b,?a http://FrenchRoyalty.org/predecessor ?b,0.414012739,0.154639175,0.482673267,195,1261,404,?b
?a http://FrenchRoyalty.org/father ?b => ?a http://FrenchRoyalty.org/predecessor ?b,?a http://FrenchRoyalty.org/father ?b,?a http://FrenchRoyalty.org/predecessor ?b,0.360934183,0.258358663,0.508982036,170,658,334,?b
