rule,body,head,head_coverage,std_confidence,pca_confidence,positive_examples,body_size,pca_body_size,functional_variable
?a child ?f ?f type ?b => ?a type ?b,?a child ?f  ?f type ?b,?a type ?b,0.498664292,1.0,1.0,560,560,560,?a
?a father ?f ?f type ?b => ?a type ?b,?a father ?f  ?f type ?b,?a type ?b,0.715048976,1.0,1.0,803,803,803,?a
?a successor ?f ?f type ?b => ?a type ?b,?a successor ?f  ?f type ?b,?a type ?b,0.488869101,1.0,1.0,549,549,549,?a
?a spouse ?f ?f type ?b => ?a type ?b,?a spouse ?f  ?f type ?b,?a type ?b,0.580587711,1.0,1.0,652,652,652,?a
?a parent ?f ?f type ?b => ?a type ?b,?a parent ?f  ?f type ?b,?a type ?b,0.556544969,1.0,1.0,625,625,625,?a
?e predecessor ?a ?e type ?b => ?a type ?b,?e predecessor ?a  ?e type ?b,?a type ?b,0.814781834,1.0,1.0,915,915,915,?a
?e mother ?a ?e type ?b => ?a type ?b,?e mother ?a  ?e type ?b,?a type ?b,0.812110419,1.0,1.0,912,912,912,?a
?a predecessor ?f ?f type ?b => ?a type ?b,?a predecessor ?f  ?f type ?b,?a type ?b,0.808548531,1.0,1.0,908,908,908,?a
?a mother ?f ?f type ?b => ?a type ?b,?a mother ?f  ?f type ?b,?a type ?b,0.822796082,1.0,1.0,924,924,924,?a
?e spouse ?a ?e type ?b => ?a type ?b,?e spouse ?a  ?e type ?b,?a type ?b,0.590382903,1.0,1.0,663,663,663,?a
?e parent ?a ?e type ?b => ?a type ?b,?e parent ?a  ?e type ?b,?a type ?b,0.552092609,1.0,1.0,620,620,620,?a
?e successor ?a ?e type ?b => ?a type ?b,?e successor ?a  ?e type ?b,?a type ?b,0.478183437,1.0,1.0,537,537,537,?a
?e child ?a ?e type ?b => ?a type ?b,?e child ?a  ?e type ?b,?a type ?b,0.519145147,1.0,1.0,583,583,583,?a
?e father ?a ?e type ?b => ?a type ?b,?e father ?a  ?e type ?b,?a type ?b,0.742653606,1.0,1.0,834,834,834,?a
