rule,body,head,head_coverage,std_confidence,pca_confidence,positive_examples,body_size,pca_body_size,functional_variable
?b http://FrenchRoyalty.org/successor ?a => ?a http://FrenchRoyalty.org/predecessor ?b,?b http://FrenchRoyalty.org/successor ?a,?a http://FrenchRoyalty.org/predecessor ?b,0.995753715,1.0,1.0,469,469,469,?b
?a http://FrenchRoyalty.org/parent ?b => ?a http://FrenchRoyalty.org/father ?b,?a http://FrenchRoyalty.org/parent ?b,?a http://FrenchRoyalty.org/father ?b,1.0,0.454733932,0.457261987,658,1447,1439,?a
?b http://FrenchRoyalty.org/predecessor ?a => ?a http://FrenchRoyalty.org/successor ?b,?b http://FrenchRoyalty.org/predecessor ?a,?a http://FrenchRoyalty.org/successor ?b,1.0,0.995753715,0.99787234,469,471,470,?a
?a http://FrenchRoyalty.org/parent ?b => ?a http://FrenchRoyalty.org/mother ?b,?a http://FrenchRoyalty.org/parent ?b,?a http://FrenchRoyalty.org/mother ?b,1.0,0.369039392,0.405775076,534,1447,1316,?a
?b http://FrenchRoyalty.org/spouse ?a => ?a http://FrenchRoyalty.org/spouse ?b,?b http://FrenchRoyalty.org/spouse ?a,?a http://FrenchRoyalty.org/spouse ?b,1.0,1.0,1.0,1054,1054,1054,?a
?a http://FrenchRoyalty.org/father ?b => ?a http://FrenchRoyalty.org/parent ?b,?a http://FrenchRoyalty.org/father ?b,?a http://FrenchRoyalty.org/parent ?b,0.454733932,1.0,1.0,658,658,658,?b
?a http://FrenchRoyalty.org/mother ?b => ?a http://FrenchRoyalty.org/parent ?b,?a http://FrenchRoyalty.org/mother ?b,?a http://FrenchRoyalty.org/parent ?b,0.369039392,1.0,1.0,534,534,534,?b
?a http://FrenchRoyalty.org/mother ?f ?b http://FrenchRoyalty.org/spouse ?f => ?a http://FrenchRoyalty.org/father ?b,?a http://FrenchRoyalty.org/mother ?f  ?b http://FrenchRoyalty.org/spouse ?f,?a http://FrenchRoyalty.org/father ?b,0.800911854,0.673913043,0.674775928,527,782,781,?a
?a http://FrenchRoyalty.org/parent ?f ?f http://FrenchRoyalty.org/spouse ?b => ?a http://FrenchRoyalty.org/father ?b,?a http://FrenchRoyalty.org/parent ?f  ?f http://FrenchRoyalty.org/spouse ?b,?a http://FrenchRoyalty.org/father ?b,0.800911854,0.319587629,0.319975713,527,1649,1647,?a
?a http://FrenchRoyalty.org/parent ?f ?b http://FrenchRoyalty.org/spouse ?f => ?a http://FrenchRoyalty.org/father ?b,?a http://FrenchRoyalty.org/parent ?f  ?b http://FrenchRoyalty.org/spouse ?f,?a http://FrenchRoyalty.org/father ?b,0.800911854,0.319587629,0.319975713,527,1649,1647,?a
?a http://FrenchRoyalty.org/mother ?f ?f http://FrenchRoyalty.org/spouse ?b => ?a http://FrenchRoyalty.org/father ?b,?a http://FrenchRoyalty.org/mother ?f  ?f http://FrenchRoyalty.org/spouse ?b,?a http://FrenchRoyalty.org/father ?b,0.800911854,0.673913043,0.674775928,527,782,781,?a
?a http://FrenchRoyalty.org/father ?f ?f http://FrenchRoyalty.org/spouse ?b => ?a http://FrenchRoyalty.org/mother ?b,?a http://FrenchRoyalty.org/father ?f  ?f http://FrenchRoyalty.org/spouse ?b,?a http://FrenchRoyalty.org/mother ?b,0.986891386,0.690694626,0.735006974,527,763,717,?a
?a http://FrenchRoyalty.org/parent ?f ?b http://FrenchRoyalty.org/spouse ?f => ?a http://FrenchRoyalty.org/mother ?b,?a http://FrenchRoyalty.org/parent ?f  ?b http://FrenchRoyalty.org/spouse ?f,?a http://FrenchRoyalty.org/mother ?b,0.988764045,0.320194057,0.329382408,528,1649,1603,?a
?a http://FrenchRoyalty.org/parent ?f ?f http://FrenchRoyalty.org/spouse ?b => ?a http://FrenchRoyalty.org/mother ?b,?a http://FrenchRoyalty.org/parent ?f  ?f http://FrenchRoyalty.org/spouse ?b,?a http://FrenchRoyalty.org/mother ?b,0.988764045,0.320194057,0.329382408,528,1649,1603,?a
?e http://FrenchRoyalty.org/father ?b ?e http://FrenchRoyalty.org/parent ?a => ?a http://FrenchRoyalty.org/spouse ?b,?e http://FrenchRoyalty.org/father ?b  ?e http://FrenchRoyalty.org/parent ?a,?a http://FrenchRoyalty.org/spouse ?b,0.5,0.398638427,0.42810723,527,1322,1231,?a
?a http://FrenchRoyalty.org/father ?f ?b http://FrenchRoyalty.org/spouse ?f => ?a http://FrenchRoyalty.org/mother ?b,?a http://FrenchRoyalty.org/father ?f  ?b http://FrenchRoyalty.org/spouse ?f,?a http://FrenchRoyalty.org/mother ?b,0.986891386,0.690694626,0.735006974,527,763,717,?a
?e http://FrenchRoyalty.org/father ?b ?e http://FrenchRoyalty.org/mother ?a => ?a http://FrenchRoyalty.org/spouse ?b,?e http://FrenchRoyalty.org/father ?b  ?e http://FrenchRoyalty.org/mother ?a,?a http://FrenchRoyalty.org/spouse ?b,0.5,1.0,1.0,527,527,527,?a
?e http://FrenchRoyalty.org/mother ?a ?e http://FrenchRoyalty.org/parent ?b => ?a http://FrenchRoyalty.org/spouse ?b,?e http://FrenchRoyalty.org/mother ?a  ?e http://FrenchRoyalty.org/parent ?b,?a http://FrenchRoyalty.org/spouse ?b,0.5,0.547817048,0.55125523,527,962,956,?a
?e http://FrenchRoyalty.org/father ?a ?e http://FrenchRoyalty.org/parent ?b => ?a http://FrenchRoyalty.org/spouse ?b,?e http://FrenchRoyalty.org/father ?a  ?e http://FrenchRoyalty.org/parent ?b,?a http://FrenchRoyalty.org/spouse ?b,0.5,0.398638427,0.42810723,527,1322,1231,?a
?e http://FrenchRoyalty.org/father ?a ?e http://FrenchRoyalty.org/mother ?b => ?a http://FrenchRoyalty.org/spouse ?b,?e http://FrenchRoyalty.org/father ?a  ?e http://FrenchRoyalty.org/mother ?b,?a http://FrenchRoyalty.org/spouse ?b,0.5,1.0,1.0,527,527,527,?a
?a http://FrenchRoyalty.org/father ?f ?b http://FrenchRoyalty.org/spouse ?f => ?a http://FrenchRoyalty.org/parent ?b,?a http://FrenchRoyalty.org/father ?f  ?b http://FrenchRoyalty.org/spouse ?f,?a http://FrenchRoyalty.org/parent ?b,0.364201797,0.690694626,0.690694626,527,763,763,?b
?a http://FrenchRoyalty.org/mother ?f ?f http://FrenchRoyalty.org/spouse ?b => ?a http://FrenchRoyalty.org/parent ?b,?a http://FrenchRoyalty.org/mother ?f  ?f http://FrenchRoyalty.org/spouse ?b,?a http://FrenchRoyalty.org/parent ?b,0.540428473,1.0,1.0,782,782,782,?b
?a http://FrenchRoyalty.org/parent ?f ?f http://FrenchRoyalty.org/spouse ?b => ?a http://FrenchRoyalty.org/parent ?b,?a http://FrenchRoyalty.org/parent ?f  ?f http://FrenchRoyalty.org/spouse ?b,?a http://FrenchRoyalty.org/parent ?b,0.905321355,0.794420861,0.794420861,1310,1649,1649,?b
?a http://FrenchRoyalty.org/mother ?f ?b http://FrenchRoyalty.org/spouse ?f => ?a http://FrenchRoyalty.org/parent ?b,?a http://FrenchRoyalty.org/mother ?f  ?b http://FrenchRoyalty.org/spouse ?f,?a http://FrenchRoyalty.org/parent ?b,0.540428473,1.0,1.0,782,782,782,?b
?a http://FrenchRoyalty.org/father ?f ?f http://FrenchRoyalty.org/spouse ?b => ?a http://FrenchRoyalty.org/parent ?b,?a http://FrenchRoyalty.org/father ?f  ?f http://FrenchRoyalty.org/spouse ?b,?a http://FrenchRoyalty.org/parent ?b,0.364201797,0.690694626,0.690694626,527,763,763,?b
?a http://FrenchRoyalty.org/parent ?f ?b http://FrenchRoyalty.org/spouse ?f => ?a http://FrenchRoyalty.org/parent ?b,?a http://FrenchRoyalty.org/parent ?f  ?b http://FrenchRoyalty.org/spouse ?f,?a http://FrenchRoyalty.org/parent ?b,0.905321355,0.794420861,0.794420861,1310,1649,1649,?b
?a http://FrenchRoyalty.org/child ?f ?f http://www.w3.org/2000/01/rdf-schema#type ?b => ?a http://www.w3.org/2000/01/rdf-schema#type ?b,?a http://FrenchRoyalty.org/child ?f  ?f http://www.w3.org/2000/01/rdf-schema#type ?b,?a http://www.w3.org/2000/01/rdf-schema#type ?b,0.193125283,1.0,1.0,427,427,427,?a
?a http://FrenchRoyalty.org/predecessor ?f ?f http://www.w3.org/2000/01/rdf-schema#type ?b => ?a http://www.w3.org/2000/01/rdf-schema#type ?b,?a http://FrenchRoyalty.org/predecessor ?f  ?f http://www.w3.org/2000/01/rdf-schema#type ?b,?a http://www.w3.org/2000/01/rdf-schema#type ?b,0.169154229,1.0,1.0,374,374,374,?a
?a http://FrenchRoyalty.org/father ?f ?f http://www.w3.org/2000/01/rdf-schema#type ?b => ?a http://www.w3.org/2000/01/rdf-schema#type ?b,?a http://FrenchRoyalty.org/father ?f  ?f http://www.w3.org/2000/01/rdf-schema#type ?b,?a http://www.w3.org/2000/01/rdf-schema#type ?b,0.297602895,1.0,1.0,658,658,658,?a
?a http://FrenchRoyalty.org/spouse ?f ?f http://www.w3.org/2000/01/rdf-schema#type ?b => ?a http://www.w3.org/2000/01/rdf-schema#type ?b,?a http://FrenchRoyalty.org/spouse ?f  ?f http://www.w3.org/2000/01/rdf-schema#type ?b,?a http://www.w3.org/2000/01/rdf-schema#type ?b,0.397557666,1.0,1.0,879,879,879,?a
?e http://FrenchRoyalty.org/parent ?a ?e http://FrenchRoyalty.org/parent ?b => ?a http://FrenchRoyalty.org/spouse ?b,?e http://FrenchRoyalty.org/parent ?a  ?e http://FrenchRoyalty.org/parent ?b,?a http://FrenchRoyalty.org/spouse ?b,1.0,0.461471103,0.481938729,1054,2284,2187,?a
?e http://FrenchRoyalty.org/mother ?b ?e http://FrenchRoyalty.org/parent ?a => ?a http://FrenchRoyalty.org/spouse ?b,?e http://FrenchRoyalty.org/mother ?b  ?e http://FrenchRoyalty.org/parent ?a,?a http://FrenchRoyalty.org/spouse ?b,0.5,0.547817048,0.55125523,527,962,956,?a
?a http://FrenchRoyalty.org/successor ?f ?f http://www.w3.org/2000/01/rdf-schema#type ?b => ?a http://www.w3.org/2000/01/rdf-schema#type ?b,?a http://FrenchRoyalty.org/successor ?f  ?f http://www.w3.org/2000/01/rdf-schema#type ?b,?a http://www.w3.org/2000/01/rdf-schema#type ?b,0.179556762,1.0,1.0,397,397,397,?a
?a http://FrenchRoyalty.org/mother ?f ?f http://www.w3.org/2000/01/rdf-schema#type ?b => ?a http://www.w3.org/2000/01/rdf-schema#type ?b,?a http://FrenchRoyalty.org/mother ?f  ?f http://www.w3.org/2000/01/rdf-schema#type ?b,?a http://www.w3.org/2000/01/rdf-schema#type ?b,0.241519674,1.0,1.0,534,534,534,?a
?e http://FrenchRoyalty.org/successor ?a ?e http://www.w3.org/2000/01/rdf-schema#type ?b => ?a http://www.w3.org/2000/01/rdf-schema#type ?b,?e http://FrenchRoyalty.org/successor ?a  ?e http://www.w3.org/2000/01/rdf-schema#type ?b,?a http://www.w3.org/2000/01/rdf-schema#type ?b,0.169154229,1.0,1.0,374,374,374,?a
?e http://FrenchRoyalty.org/father ?a ?e http://www.w3.org/2000/01/rdf-schema#type ?b => ?a http://www.w3.org/2000/01/rdf-schema#type ?b,?e http://FrenchRoyalty.org/father ?a  ?e http://www.w3.org/2000/01/rdf-schema#type ?b,?a http://www.w3.org/2000/01/rdf-schema#type ?b,0.244685663,1.0,1.0,541,541,541,?a
?e http://FrenchRoyalty.org/mother ?a ?e http://www.w3.org/2000/01/rdf-schema#type ?b => ?a http://www.w3.org/2000/01/rdf-schema#type ?b,?e http://FrenchRoyalty.org/mother ?a  ?e http://www.w3.org/2000/01/rdf-schema#type ?b,?a http://www.w3.org/2000/01/rdf-schema#type ?b,0.196743555,1.0,1.0,435,435,435,?a
?e http://FrenchRoyalty.org/predecessor ?a ?e http://www.w3.org/2000/01/rdf-schema#type ?b => ?a http://www.w3.org/2000/01/rdf-schema#type ?b,?e http://FrenchRoyalty.org/predecessor ?a  ?e http://www.w3.org/2000/01/rdf-schema#type ?b,?a http://www.w3.org/2000/01/rdf-schema#type ?b,0.180009046,1.0,1.0,398,398,398,?a
?a http://FrenchRoyalty.org/parent ?f ?f http://www.w3.org/2000/01/rdf-schema#type ?b => ?a http://www.w3.org/2000/01/rdf-schema#type ?b,?a http://FrenchRoyalty.org/parent ?f  ?f http://www.w3.org/2000/01/rdf-schema#type ?b,?a http://www.w3.org/2000/01/rdf-schema#type ?b,0.300768883,1.0,1.0,665,665,665,?a
?e http://FrenchRoyalty.org/parent ?a ?e http://www.w3.org/2000/01/rdf-schema#type ?b => ?a http://www.w3.org/2000/01/rdf-schema#type ?b,?e http://FrenchRoyalty.org/parent ?a  ?e http://www.w3.org/2000/01/rdf-schema#type ?b,?a http://www.w3.org/2000/01/rdf-schema#type ?b,0.441429218,1.0,1.0,976,976,976,?a
?e http://FrenchRoyalty.org/child ?a ?e http://www.w3.org/2000/01/rdf-schema#type ?b => ?a http://www.w3.org/2000/01/rdf-schema#type ?b,?e http://FrenchRoyalty.org/child ?a  ?e http://www.w3.org/2000/01/rdf-schema#type ?b,?a http://www.w3.org/2000/01/rdf-schema#type ?b,0.638172773,1.0,1.0,1411,1411,1411,?a
?e http://FrenchRoyalty.org/spouse ?a ?e http://www.w3.org/2000/01/rdf-schema#type ?b => ?a http://www.w3.org/2000/01/rdf-schema#type ?b,?e http://FrenchRoyalty.org/spouse ?a  ?e http://www.w3.org/2000/01/rdf-schema#type ?b,?a http://www.w3.org/2000/01/rdf-schema#type ?b,0.397557666,1.0,1.0,879,879,879,?a
