rule,body,head,head_coverage,std_confidence,pca_confidence,positive_examples,body_size,pca_body_size,functional_variable
?a loves ?f ?f type ?b => ?a type ?b,?a loves ?f ?f type ?b,?a type ?b,0.928571429,1.0,1.0,13,13,13,?a
?a brotherOf ?f ?f type ?b => ?a type ?b,?a brotherOf ?f ?f type ?b,?a type ?b,0.785714286,1.0,1.0,11,11,11,?a
?a servantOf ?f ?f type ?b => ?a type ?b,?a servantOf ?f ?f type ?b,?a type ?b,0.928571429,1.0,1.0,13,13,13,?a
?a allyOf ?f ?f type ?b => ?a type ?b,?a allyOf ?f ?f type ?b,?a type ?b,0.714285714,1.0,1.0,10,10,10,?a
?e enemyOf ?a ?e type ?b => ?a type ?b,?e enemyOf ?a ?e type ?b,?a type ?b,0.428571429,1.0,1.0,6,6,6,?a
?e loves ?a ?e type ?b => ?a type ?b,?e loves ?a ?e type ?b,?a type ?b,0.928571429,1.0,1.0,13,13,13,?a
?a enemyOf ?f ?f type ?b => ?a type ?b,?a enemyOf ?f ?f type ?b,?a type ?b,0.357142857,1.0,1.0,5,5,5,?a
?e servantOf ?a ?e type ?b => ?a type ?b,?e servantOf ?a ?e type ?b,?a type ?b,0.857142857,1.0,1.0,12,12,12,?a
?e brotherOf ?a ?e type ?b => ?a type ?b,?e brotherOf ?a ?e type ?b,?a type ?b,0.928571429,1.0,1.0,13,13,13,?a
?e allyOf ?a ?e type ?b => ?a type ?b,?e allyOf ?a ?e type ?b,?a type ?b,0.857142857,1.0,1.0,12,12,12,?a
